player_name,season,offense_team,roster_position,total_plays,play_distance_SUM,medium_acceleration_count_SUM,high_acceleration_count_SUM,medium_deceleration_count_SUM,high_deceleration_count_SUM,targeted_tightwindow_catch_SUM,targeted_catch_SUM,tight_window_at_throw_SUM,max_speed_max,max_speed_99,average_separation_max,average_separation_99,max_speed_0_10_yards_max,max_speed_10_20_yards_max,max_speed_30_inf_yards_max,flying_10_min,flying_20_min,separation_at_throw_VMAN,separation_at_outcome_VMAN,10ydplus_route_MEAN,20ydplus_route_MEAN,changedir_route_MEAN,expected_yac_at_catch_MEAN,YACOE_MEAN,separation_change_postthrow_MEAN,CPOE_MEAN,cod_top5_speed_entry_avg_180_,cod_top5_speed_entry_avg_90_,cod_top5_speed_exit_avg_180_,cod_top5_speed_exit_avg_90_,cod_sep_generated_overall,tracking_player_name,draft_round,draft_pick,draft_year,drafted,undrafted,draft_capital,tracking_player_name_college,games_played,receptions,rec_yards,rec_tds,yards_per_rec,yards_per_game,recs_per_game,tds_per_game,production_score,vol_tier,spd_score,burst_rt,first_step,brake_rt,route_div,sep_consistency,man_win_rt,tracking,contested_rt,tight_tgt_pct,yac_ability,qb_friendly,sharp_cuts,route_bend,cut_sep,high_vol,dist_per_play,tot_explosive,explosive_rt,ath_score,rr_grade,prospect_score,archetype
Rahmon Hart Jr.,2022.0,PADU,WR,74.0,582.0,12.0,37.0,11.0,7.0,0.0,0.0,18.0,18.24,16.945,9.48,9.158,15.35,16.39,15.61,1.25,2.63,10.035,3.676666667,56.75675676,0.0,8.108108108,,,1.016153846,,8.997487333,9.6120164,3.840806667,12.4128508,5.002075553,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),16.2775,50.0,15.35,9.45945945945946,19.459459460399998,9.158,10.035,1.016153846,0.0,24.324324324324326,,,11.0124336,6.419147000000001,5.002075553,0,7.864864864864865,44.0,59.45945945945946,45.39032082018695,63.084711786952155,54.23751630356955,3.0
Kenneth Womack,2022.0,CTSH,WR,63.0,666.0,9.0,28.0,14.0,13.0,0.0,0.0,10.0,19.59,18.4764,10.48,9.6214,16.93,17.67,14.75,1.13,2.49,,,65.07936508,7.936507937,15.87301587,,,-0.9191666667,,,12.6623896,,13.731452,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),16.6132,44.44444444444444,16.93,20.634920634920633,27.460317459800002,9.6214,,-0.9191666667,0.0,15.873015873015872,,,13.196920800000001,,,0,10.571428571428571,41.0,65.07936507936508,44.11723338680593,57.12771346242742,50.62247342461667,3.0
Cayden Jordan,2022.0,SCCH,WR,74.0,666.0,6.0,26.0,31.0,13.0,0.0,0.0,4.0,18.78,17.298,10.72,10.29945,15.7,18.34,15.73,1.14,2.34,,,63.51351351,5.405405405,12.16216216,,,0.2221052632,,11.529238,12.7605688,6.535053,13.6905442,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),16.514,35.13513513513514,15.7,17.56756756756757,24.864864863,10.29945,,0.2221052632,0.0,5.405405405405405,,,13.2255565,9.032145499999999,,0,9.0,39.0,52.702702702702695,39.89742723600289,57.16251015123788,48.52996869362039,3.0
Arland Bruce IV,2022.0,IAUN,WR,64.0,580.0,8.0,18.0,18.0,26.0,0.0,0.0,4.0,17.43,17.3122,10.78111111,10.70723333,17.43,17.22,16.01,1.2,2.52,,,65.625,1.5625,15.625,,,0.2095652174,,12.3173988,15.3214098,9.0733944,16.8622776,1.871997167,,,,,False,True,0.0,Arland Bruce IV,11.0,19.0,187.0,1.0,9.8,17.0,1.7272727272727273,0.0909090909090909,13.772727272727272,50-100 (Rotational),16.6611,28.125,17.43,40.625,25.0,10.70723333,,0.2095652174,0.0,6.25,,,16.0918437,10.695396599999999,1.871997167,0,9.0625,44.0,68.75,37.419182615492424,59.13717594707142,48.27817928128192,3.0
Xavier White,2022.0,TXTC,WR,72.0,538.0,9.0,22.0,7.0,6.0,0.0,0.0,10.0,18.29,17.6762,10.31,10.178,16.3,18.21,17.12,1.15,2.35,5.13,5.95,59.72222222,0.0,6.944444444,,,-0.05392857143,,7.400939,15.1373236,4.540788,15.4332246,-0.06794028,,,,,False,True,0.0,Xavier White,13.0,45.0,572.0,3.0,12.7,44.0,3.4615384615384617,0.2307692307692307,33.53846153846154,50-100 (Rotational),17.3981,30.555555555555557,16.3,8.333333333333332,19.999999999199996,10.178,5.13,-0.05392857143,0.0,13.88888888888889,,,15.2852741,5.9708635,-0.06794028,0,7.472222222222222,28.0,38.88888888888889,40.76314040662194,55.648866029243656,48.2060032179328,3.0
Austin Williams,2022.0,MSST,WR,180.0,1250.0,28.0,79.0,46.0,47.0,0.0,0.0,28.0,19.54,17.2416,10.43,9.02,16.93,17.71,15.58,1.13,2.45,5.3,2.63,50.0,1.111111111,15.55555556,,,-0.2783809524,,10.407677,16.2418398,5.5106485,15.4468608,0.655827725,,,,,False,True,0.0,Austin Williams,13.0,34.0,291.0,5.0,8.6,22.4,2.6153846153846154,0.3846153846153846,24.115384615384617,150-200 (Heavy),16.4108,43.888888888888886,16.93,26.111111111111114,20.1111111124,9.02,5.3,-0.2783809524,0.0,15.555555555555555,,,15.8443503,7.95916275,0.655827725,1,6.944444444444445,126.0,70.0,43.245872823840976,52.6677644145529,47.95681861919694,3.0
Daniel Sobkowicz,2022.0,ILST,WR,72.0,653.0,8.0,27.0,28.0,17.0,0.0,0.0,6.0,17.16,16.884,10.46,10.3576,15.31,17.16,13.66,1.25,2.64,,,63.88888889,6.944444444,11.11111111,,,-1.238095238,,8.633860667,7.690704,3.78399,8.6097704,0.0556684,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),15.272,37.5,15.31,23.61111111111111,25.277777777599997,10.3576,,-1.238095238,0.0,8.333333333333332,,,8.1502372,6.2089253335,0.0556684,0,9.069444444444445,44.0,61.111111111111114,36.97370625469976,57.897546981381794,47.43562661804078,3.0
Tank McMath,2022.0,LANI,WR,52.0,439.0,3.0,28.0,12.0,14.0,0.0,0.0,10.0,18.4,17.4361,10.03,9.77,16.4,16.51,10.2,1.25,2.73,,,61.53846154,0.0,21.15384615,,,-0.1355555556,,9.049758667,11.21561,5.788482,5.231678667,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),13.81805,53.84615384615385,16.4,26.923076923076923,24.807692307,9.77,,-0.1355555556,0.0,19.230769230769234,,,8.2236443335,7.4191203335,,0,8.442307692307692,42.0,80.76923076923077,39.249462144011225,54.73493321919156,46.9921976816014,3.0
Jah'Marae Sheread,2022.0,FLAM,WR,53.0,455.0,6.0,25.0,14.0,8.0,0.0,0.0,5.0,17.78,17.7608,10.23,10.2152,16.54,17.78,12.61,1.19,2.63,,,56.60377358,1.886792453,13.20754717,,,-0.2658333333,,11.14288467,12.8096584,5.745301333,14.0300804,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),15.1854,47.16981132075472,16.54,15.09433962264151,21.698113206200002,10.2152,,-0.2658333333,0.0,9.433962264150944,,,13.4198694,8.4440930015,,0,8.584905660377359,33.0,62.264150943396224,40.75895340140202,53.13881758213891,46.94888549177047,3.0
Chris Miller,2022.0,CASA,WR,72.0,593.0,3.0,44.0,12.0,24.0,0.0,0.0,12.0,17.65,17.6436,8.38,8.284,16.23,17.65,10.5,1.24,2.63,,,63.88888889,0.0,26.38888889,,,-0.02551724138,,6.831636,10.673579,6.122564,6.105519,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),14.0718,61.111111111111114,16.23,33.33333333333333,27.083333333999995,8.284,,-0.02551724138,0.0,16.666666666666664,,,8.389549,6.4771,,0,8.23611111111111,68.0,94.44444444444444,43.098598043801665,50.727712440542135,46.9131552421719,3.0
