player_name,season,offense_team,roster_position,total_plays,play_distance_SUM,medium_acceleration_count_SUM,high_acceleration_count_SUM,medium_deceleration_count_SUM,high_deceleration_count_SUM,targeted_tightwindow_catch_SUM,targeted_catch_SUM,tight_window_at_throw_SUM,max_speed_max,max_speed_99,average_separation_max,average_separation_99,max_speed_0_10_yards_max,max_speed_10_20_yards_max,max_speed_30_inf_yards_max,flying_10_min,flying_20_min,separation_at_throw_VMAN,separation_at_outcome_VMAN,10ydplus_route_MEAN,20ydplus_route_MEAN,changedir_route_MEAN,expected_yac_at_catch_MEAN,YACOE_MEAN,separation_change_postthrow_MEAN,CPOE_MEAN,cod_top5_speed_entry_avg_180_,cod_top5_speed_entry_avg_90_,cod_top5_speed_exit_avg_180_,cod_top5_speed_exit_avg_90_,cod_sep_generated_overall,tracking_player_name,draft_round,draft_pick,draft_year,drafted,undrafted,draft_capital,tracking_player_name_college,games_played,receptions,rec_yards,rec_tds,yards_per_rec,yards_per_game,recs_per_game,tds_per_game,production_score,vol_tier,spd_score,burst_rt,first_step,brake_rt,route_div,sep_consistency,man_win_rt,tracking,contested_rt,tight_tgt_pct,yac_ability,qb_friendly,sharp_cuts,route_bend,cut_sep,high_vol,dist_per_play,tot_explosive,explosive_rt,ath_score,rr_grade,prospect_score,archetype
Emmanuel Henderson Jr.,2022.0,ALUN,WR,58.0,310.0,32.0,33.0,19.0,14.0,0.0,0.0,0.0,21.92,21.731,8.952,8.88138,16.65,20.42,21.92,0.95,1.94,,,31.03448276,1.724137931,20.68965517,,,0.11,,,12.361034,,14.597338,,,,,,False,True,0.0,Emmanuel Henderson Jr.,12.0,1.0,14.0,0.0,14.0,1.2,0.0833333333333333,0.0,0.75,50-100 (Rotational),21.8255,56.896551724137936,16.65,24.137931034482758,16.2068965514,8.88138,,0.11,,0.0,,,13.479186,,,0,5.344827586206897,47.0,81.03448275862068,65.77847307120868,40.863544311023475,53.32100869111608,0.0
Antoine Green,2022.0,NCUN,WR,59.0,513.0,10.0,42.0,13.0,27.0,0.0,0.0,7.0,21.92,20.9225,8.52,8.349,16.21,19.51,21.92,0.95,1.94,1.31,1.745,59.3220339,5.084745763,32.20338983,,,-0.0696875,,13.2501012,12.6664804,7.5993428,14.7582426,0.17530985,Antoine Green,7.0,219.0,2023.0,True,False,10.0,Antoine Green,9.0,43.0,798.0,7.0,18.6,88.7,4.777777777777778,0.7777777777777778,69.44444444444444,50-100 (Rotational),21.42125,71.1864406779661,16.21,45.76271186440678,29.4915254242,8.349,1.31,-0.0696875,0.0,11.864406779661017,,,13.7123615,10.424722,0.17530985,0,8.694915254237289,69.0,116.94915254237289,70.50111267777385,49.0222285850768,59.761670631425325,0.0
Jha'Quan Jackson,2022.0,LATU,WR,90.0,745.0,15.0,43.0,33.0,12.0,0.0,0.0,8.0,21.91,20.986,9.603,9.21051,16.75,20.6,21.91,0.95,1.91,,,60.0,1.111111111,8.888888889,,,-0.03392857143,,,13.3073724,,15.9663924,0.5904188,Jha'Quan Jackson,6.0,182.0,2024.0,True,False,20.0,Jha'Quan Jackson,14.0,33.0,554.0,3.0,16.8,39.6,2.357142857142857,0.2142857142857142,28.785714285714285,50-100 (Rotational),21.448,47.77777777777778,16.75,13.333333333333334,21.111111111099998,9.21051,,-0.03392857143,0.0,8.88888888888889,,,14.636882400000001,,0.5904188,0,8.277777777777779,55.0,61.111111111111114,60.761107269223515,47.981010216790686,54.3710587430071,0.0
Kobie Campbell,2022.0,TXRI,WR,58.0,513.0,18.0,28.0,16.0,18.0,0.0,0.0,8.0,21.8,21.0608,7.93,7.6954,16.96,20.48,21.8,0.95,1.94,,,60.34482759,0.0,18.96551724,,,-0.7948275862,,9.466793,12.0774052,9.470202,14.1391684,-0.08981513333,,,,,False,True,0.0,Kobie Campbell,11.0,17.0,192.0,0.0,11.3,17.5,1.5454545454545454,0.0,11.818181818181818,50-100 (Rotational),21.4304,48.275862068965516,16.96,31.03448275862069,23.793103449,7.6954,,-0.7948275862,0.0,13.793103448275861,,,13.1082868,9.4684975,-0.08981513333,0,8.844827586206897,46.0,79.3103448275862,60.9146519788479,44.31202699208366,52.61333948546578,2.0
Anthony Gould,2022.0,ORST,WR,97.0,864.0,21.0,48.0,23.0,39.0,0.0,0.0,17.0,21.82,21.5975,9.3,9.1908,17.17,19.6,21.82,0.95,1.94,1.49,2.213333333,61.8556701,2.06185567,29.89690722,,,0.3883783784,,9.7947388,16.4313802,5.8880248,16.9100036,2.089752717,Anthony Gould,5.0,142.0,2024.0,True,False,30.0,Anthony Gould,10.0,27.0,457.0,3.0,16.9,45.7,2.7,0.3,34.25,50-100 (Rotational),21.708750000000002,49.48453608247423,17.17,40.20618556701031,28.350515464,9.1908,1.49,0.3883783784,0.0,17.525773195876287,,,16.6706919,7.8413818,2.089752717,0,8.907216494845361,87.0,89.69072164948454,62.29960172481244,51.04875237658904,56.67417705070074,0.0
Tyler Scott,2022.0,OHCI,WR,151.0,1197.0,24.0,69.0,58.0,38.0,0.0,0.0,17.0,22.25,21.9884,10.38,10.2664,17.29,21.04,22.25,0.95,1.94,4.056666667,1.933333333,49.66887417,3.973509934,17.8807947,,,0.0319047619,,11.6574164,14.6777904,6.9775412,14.501886,0.6135905667,Tyler Scott,4.0,133.0,2023.0,True,False,40.0,Tyler Scott,11.0,54.0,899.0,9.0,16.6,81.7,4.909090909090909,0.8181818181818182,67.04545454545455,150-200 (Heavy),22.1192,45.6953642384106,17.29,25.165562913907287,21.8543046346,10.2664,4.056666667,0.0319047619,0.0,11.258278145695364,,,14.589838199999999,9.3174788,0.6135905667,1,7.927152317880795,107.0,70.86092715231787,62.0035445837283,54.954035434961504,58.478790009344905,0.0
Barion Brown,2022.0,KYUN,WR,141.0,1160.0,24.0,56.0,30.0,25.0,0.0,0.0,26.0,22.19,19.5375,11.387,10.0429,17.76,18.4,22.19,0.95,1.95,3.413333333,3.02,57.44680851,0.0,12.76595745,,,0.1532352941,,9.3597504,14.3696168,4.690784,15.2423208,1.081387775,,,,,False,True,0.0,Barion Brown,13.0,50.0,628.0,4.0,12.6,48.3,3.8461538461538463,0.3076923076923077,38.0,100-150 (Starter),20.863750000000003,39.71631205673759,17.76,17.73049645390071,21.063829788,10.0429,3.413333333,0.1532352941,0.0,18.439716312056735,,,14.805968799999999,7.0252672,1.081387775,0,8.22695035460993,81.0,57.446808510638306,55.535565433149216,52.25478122898861,53.89517333106892,1.0
Marvin Mims Jr.,2022.0,OKUN,WR,287.0,2426.0,62.0,118.0,80.0,63.0,0.0,0.0,42.0,21.84,20.7125,12.814,10.0778,17.0,20.28,21.84,0.95,1.95,3.405,2.596666667,60.27874564,1.045296167,16.37630662,,,-0.6232692308,,10.847438,13.6182732,8.2334168,14.3750712,0.80182479,Marvin Mims Jr.,2.0,63.0,2023.0,True,False,60.0,Marvin Mims Jr.,13.0,54.0,1083.0,6.0,20.1,83.3,4.153846153846154,0.4615384615384615,59.19230769230769,200-300 (Workhorse),21.276249999999997,41.11498257839721,17.0,21.951219512195124,23.414634144799997,10.0778,3.405,-0.6232692308,0.0,14.634146341463413,,,13.9966722,9.5404274,0.80182479,1,8.452961672473867,181.0,63.06620209059234,57.4232513625012,54.14538431089157,55.78431783669639,1.0
Chase Cota,2022.0,ORUN,WR,91.0,580.0,26.0,31.0,12.0,13.0,0.0,0.0,10.0,21.6,21.4537,10.82,10.2415,17.25,19.35,21.6,0.98,1.95,,,45.05494505,0.0,12.08791209,,,0.1444117647,,8.0912615,12.9228372,5.9947265,15.4414066,0.3210927125,,,,,False,True,0.0,Chase Cota,10.0,36.0,497.0,3.0,13.8,49.7,3.6,0.3,38.05,50-100 (Rotational),21.526850000000003,34.065934065934066,17.25,14.285714285714285,17.142857141999997,10.2415,,0.1444117647,0.0,10.989010989010989,,,14.1821219,7.042994,0.3210927125,0,6.373626373626373,44.0,48.35164835164835,55.25502758227503,48.00879461955567,51.631911100915346,1.0
Kevin Coleman,2022.0,MSJA,WR,113.0,973.0,19.0,24.0,23.0,17.0,0.0,0.0,18.0,20.32,19.795,10.21,9.7,19.84,19.2,20.32,0.99,2.18,,,62.83185841,1.769911504,7.079646018,,,0.295,,7.540708,13.9619004,5.502126,16.045481,,Kevin Coleman,2.0,33.0,2024.0,True,False,60.0,Kevin Coleman,12.0,58.0,798.0,7.0,13.8,66.5,4.833333333333333,0.5833333333333334,54.583333333333336,100-150 (Starter),20.0575,21.238938053097346,19.84,15.04424778761062,21.68141593,9.7,,0.295,0.0,15.929203539823009,,,15.0036907,6.521417,,0,8.610619469026549,41.0,36.283185840707965,45.23858191591556,50.82143035656968,48.03000613624262,1.0
